player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
595777,"Profar, Jurickson",7,180,28,50,25,7,7
595879,"Baez, Javier",6,222,27,45,24,8,3
595956,"Gallagher, Cam",2,53,10,15,3,1,0
595978,"Hedges, Austin",2,69,7,10,6,3,1
596019,"Lindor, Francisco",6,236,30,61,27,8,6
596059,"Odor, Rougned",4,138,15,23,30,10,0
596103,"Slater, Austin",8,85,18,24,7,5,8
596115,"Story, Trevor",6,235,41,68,28,11,15
596117,"Stubbs, Garrett",2,8,1,1,1,0,0
596129,"Vogelbach, Daniel",3,115,16,24,16,6,0
596142,"Sanchez, Gary",2,156,19,23,24,10,0
596146,"Kepler, Max",9,171,27,39,23,9,3
596847,"Choi, Ji-Man",3,122,16,28,16,3,0
598265,"Bradley Jr., Jackie",8,191,32,54,22,7,5
600303,"La Stella, Tommy",4,196,31,55,25,5,1
600474,"Severino, Pedro",2,160,17,40,21,5,1
600869,"Candelario, Jeimer",5,185,30,55,29,7,1
602104,"Urias, Ramon",4,25,3,9,3,1,0
605113,"Ahmed, Nick",6,199,29,53,29,5,4
605119,"Anderson, Brian",5,200,27,51,38,11,0
605131,"Barnes, Austin",2,86,14,21,9,1,3
605137,"Bell, Josh",3,195,22,44,22,8,0
605141,"Betts, Mookie",9,219,47,64,39,16,10
605170,"Caratini, Victor",2,116,10,28,16,1,0
605204,"Davis, J.D.",5,190,26,47,19,6,0
605353,"Machin, Vimael",4,63,11,13,0,0,0
605548,"Zimmer, Bradley",8,37,3,6,3,1,2
605612,"Castro, Harold",4,49,6,17,3,0,0
606115,"Arcia, Orlando",6,173,22,45,20,5,2
606132,"Tapia, Raimel",7,184,26,59,17,1,8
606157,"Aquino, Aristides",9,47,7,8,8,2,1
606192,"Hernandez, Teoscar",9,190,33,55,34,16,6
606213,"Mercedes, Yermin",3,1,0,0,0,0,0
606466,"Marte, Ketel",8,181,19,52,17,2,1
606992,"Haase, Eric",2,17,1,3,2,0,0
607043,"Nimmo, Brandon",8,186,33,52,18,8,1
607054,"Peterson, Jace",4,45,6,9,5,2,1
607208,"Turner, Trea",6,233,46,78,41,12,12
607461,"Beaty, Matt",7,50,8,11,5,2,0
607732,"Stallings, Jacob",2,125,13,31,18,3,0
608070,"Ramirez, Jose",5,219,45,64,46,17,10
608324,"Bregman, Alex",5,153,19,37,22,6,0
608336,"Gallo, Joey",9,193,23,35,26,10,2
608348,"Kelly, Carson",2,122,11,27,19,5,0
608369,"Seager, Corey",6,212,38,65,41,15,1
608385,"Winker, Jesse",7,149,27,38,23,12,1
608686,"Mayfield, Jack",4,42,5,8,3,0,0
608700,"Plawecki, Kevin",2,82,8,28,17,1,1
609275,"Mondesi, Adalberto",6,219,33,56,22,6,24
609280,"Andujar, Miguel",7,62,5,15,5,1,0
614177,"Reyes, Franmil",9,211,27,58,34,9,0
620443,"Torrens, Luis",2,70,5,18,6,1,0
621011,"Schrock, Max",5,17,1,3,1,1,0
621020,"Swanson, Dansby",6,237,49,65,35,10,5
621028,"Newman, Kevin",6,156,12,35,10,1,0
621035,"Taylor, Chris",8,185,30,50,32,8,3
621043,"Correa, Carlos",6,201,22,53,25,5,0
621433,"Phillips, Brett",8,51,10,10,5,2,6
621438,"Taylor, Tyrone",7,38,6,9,6,2,0
621439,"Buxton, Byron",8,130,19,33,27,13,2
621453,"Duggar, Steven",8,34,3,6,3,0,1
621458,"Rios, Edwin",3,76,13,19,17,8,0
621466,"Stewart, DJ",9,88,13,17,15,7,0
621493,"Ward, Taylor",9,94,16,26,5,0,2
621512,"Nido, Tomas",2,24,4,7,6,2,0
621550,"Wisdom, Patrick",5,2,0,0,0,0,0
621563,"Wendle, Joey",5,168,24,48,17,4,8
621566,"Olson, Matt",3,210,28,41,42,14,1
622100,"Jones, Taylor",3,21,3,4,3,1,0
622268,"Walton, Donovan",4,13,0,2,3,0,0
622534,"Margot, Manuel",9,145,19,39,11,1,12
622666,"Camargo, Johan",5,120,16,24,9,4,0
622682,"Reyes, Victor",8,202,30,56,14,4,8
622761,"Mateo, Jorge",9,26,4,4,2,0,1
623205,"Velazquez, Andrew",6,63,11,10,3,0,4
623912,"Ramirez, Harold",8,10,2,2,1,0,0
623993,"Santander, Anthony",9,153,24,40,32,11,0
